RACE_DESC,COUNT OF FELONIES,% OF FELONIES,YEAR
Asian/Pacific Islander,1048,2.5046005305546926,2012
Other,1266,3.0255956790861074,2012
White,7904,18.889658963267454,2012
Black,9397,22.457758764906913,2012
Hispanic,22228,53.12238606218484,2012
Asian/Pacific Islander,928,2.47638362598068,2013
Other,1005,2.6818594225329564,2013
White,6757,18.031168276671824,2013
Black,8830,23.563003682553237,2013
Hispanic,19954,53.247584992261295,2013
Asian/Pacific Islander,774,2.2696616034250194,2014
Other,978,2.8678669872734734,2014
White,6002,17.600140754207963,2014
Black,8199,24.042578147909214,2014
Hispanic,18149,53.219752507184324,2014
Asian/Pacific Islander,619,2.228943862302402,2015
Other,693,2.495408879766663,2015
White,4410,15.87987468942422,2015
Black,7027,25.303374023261675,2015
Hispanic,15022,54.09239854524503,2015
Asian/Pacific Islander,525,2.0839121978327313,2016
Other,730,2.8976302941293217,2016
White,4204,16.687175008931053,2016
Black,6394,25.380065891319013,2016
Hispanic,13340,52.95121660778788,2016
Asian/Pacific Islander,556,2.2581431240354157,2017
Other,789,3.2044513037121276,2017
White,3784,15.368369750629519,2017
Black,6379,25.90772479896028,2017
Hispanic,13114,53.26131102266266,2017
Asian/Pacific Islander,509,2.1609000212269156,2018
Other,876,3.718955635746126,2018
White,3597,15.270643175546594,2018
Black,6171,26.198259392910213,2018
Hispanic,12402,52.65124177457016,2018
Asian/Pacific Islander,472,2.1058267154457035,2019
Other,933,4.162576960828054,2019
White,3325,14.834478450968144,2019
Black,5795,25.854376728830196,2019
Hispanic,11889,53.042741143927906,2019
Asian/Pacific Islander,373,2.0831006366581035,2020
Other,782,4.367251200714844,2020
White,2588,14.453255891879818,2020
Black,4507,25.170333966268288,2020
Hispanic,9656,53.92605830447894,2020
Asian/Pacific Islander,310,2.133370036473746,2021
Other,661,4.548895464868212,2021
White,2159,14.85789002821554,2021
Black,3608,24.829674489023468,2021
Hispanic,7793,53.63016998141904,2021
Asian/Pacific Islander,405,2.526828050910906,2022
Other,753,4.698028450212129,2022
White,2333,14.555777389568256,2022
Black,3750,23.396556026952833,2022
Hispanic,8787,54.82281008235588,2022
Asian/Pacific Islander,436,2.1720719374283863,2023
Other,985,4.907089124694864,2023
White,2853,14.213122104319234,2023
Black,4521,22.52279180989389,2023
Hispanic,11278,56.184925023663624,2023
Asian/Pacific Islander,500,2.280501710376283,2024
Other,1237,5.6419612314709235,2024
White,2903,13.240592930444697,2024
Black,4919,22.43557582668187,2024
Hispanic,12366,56.401368301026224,2024
